0.07,0.4
0.08,1.02
0.35,0.16
0.74,1.09
0.78,0.7
0.87,1.24
0.94,0.67
1.09,1.21
1.11,0.51
1.3,0.04
0.9,0.8
1.24,0.07
0.51,0.78
0.67,1.11
0.7,1.3
0.04,0.35
0.16,0.9
0.4,0.87
0.8,1.09
1.02,0.74
1.09,0.08
1.21,0.94
0.16,0.94
0.4,1.3
0.51,1.09
0.67,0.35
0.7,0.9
0.8,0.87
1.02,1.11
1.09,0.07
1.24,0.78
0.04,0.08
1.21,0.74
0.08,0.8
0.07,0.7
0.78,0.16
0.94,0.4
1.09,0.04
0.35,1.02
0.74,1.24
0.87,0.51
0.9,0.67
1.11,1.21
1.3,1.09
0.78,0.4
0.07,0.51
0.08,1.24
0.35,1.09
0.74,0.7
0.9,1.21
0.94,0.04
1.09,0.67
1.11,0.8
1.3,1.02
0.87,0.16
0.7,0.94
0.51,0.08
0.67,0.87
0.04,1.11
0.16,0.07
0.4,0.74
0.8,1.3
1.02,1.09
1.09,0.9
1.21,0.78
1.24,0.35
0.07,0.67
0.08,0.4
0.35,0.8
0.78,1.02
0.9,0.04
0.94,0.51
1.09,1.24
1.11,0.7
1.3,1.21
0.74,0.16
0.87,1.09
0.16,1.3
0.4,0.35
0.51,0.74
0.67,0.08
0.7,1.09
1.02,0.9
1.09,1.11
1.21,0.87
1.24,0.94
0.8,0.07
0.04,0.78
0.07,1.11
0.16,1.09
0.35,0.74
0.4,0.7
0.51,0.9
0.8,1.21
0.87,1.3
0.94,0.08
1.09,0.78
0.67,1.24
0.04,1.02
0.08,0.87
0.7,0.04
0.74,0.07
0.9,0.4
1.02,0.67
1.09,0.8
1.11,1.09
1.21,0.16
1.3,0.35
1.24,0.51
0.78,0.94
0.07,0.78
0.35,0.9
0.4,1.11
0.74,0.94
0.8,1.24
0.87,1.02
1.09,0.04
1.21,0.51
1.3,0.08
0.67,0.7
0.16,1.09
0.08,0.35
0.51,0.8
0.7,0.16
0.78,0.74
0.9,1.3
0.94,0.07
1.02,0.4
1.09,1.09
1.24,1.21
1.11,0.87
0.04,0.67
0.07,0.9
0.16,1.24
0.35,0.94
0.67,0.51
0.74,1.11
0.8,1.02
0.87,0.04
1.09,0.7
1.21,0.08
0.4,1.09
1.3,0.78
0.07,0.08
0.4,0.51
0.67,1.09
0.7,0.35
0.74,1.3
1.02,0.16
1.09,0.9
1.11,1.24
0.04,1.21
0.78,0.8
0.94,0.87
0.08,1.09
0.16,1.11
0.35,0.07
0.51,1.02
0.8,0.04
0.9,0.78
1.09,0.4
1.21,0.67
1.24,0.7
1.3,0.94
0.87,0.74
0.35,0.78
0.16,0.4
0.51,0.7
0.08,1.11
0.8,0.67
0.87,1.09
1.09,0.94
1.21,1.02
1.24,0.04
1.3,0.07
0.07,0.87
0.4,0.8
0.67,0.16
0.7,1.21
0.78,1.09
0.94,0.9
1.02,1.24
1.09,0.35
0.04,0.51
0.74,0.08
1.11,1.3
0.4,0.07
0.51,1.11
0.67,0.94
0.7,0.78
0.8,0.9
1.02,0.08
1.09,0.74
1.21,1.09
1.24,0.87
0.04,1.3
0.16,0.35
0.07,1.24
0.94,1.21
1.09,0.8
0.08,1.09
0.74,1.02
0.78,0.51
1.11,0.67
1.3,0.7
0.08,0.04
0.35,0.67
0.74,1.21
0.78,1.24
0.87,0.8
0.94,0.16
1.09,0.51
1.11,1.02
1.3,0.4
0.07,1.09
0.9,0.7
0.16,0.78
0.4,0.94
0.51,0.87
0.67,0.9
0.7,0.07
1.09,1.3
1.21,1.11
1.24,0.74
0.04,1.09
0.8,0.08
0.87,0.7
0.8,0.16
1.09,0.74
0.04,0.4
0.51,1.09
0.67,1.3
1.02,0.94
1.11,0.35
1.21,0.07
1.24,0.9
0.35,0.87
0.74,0.04
0.78,1.11
1.3,1.24
0.07,1.09
0.16,0.51
0.7,1.02
0.9,0.08
0.94,0.8
1.09,1.21
0.08,0.16
0.51,1.3
0.67,0.74
0.8,0.7
0.87,0.78
1.02,1.09
1.09,0.94
1.11,0.9
1.21,0.35
1.24,0.4
0.04,0.07
0.07,1.02
0.35,0.51
0.4,1.21
1.09,1.24
1.3,1.09
0.74,0.8
0.9,0.87
0.08,1.3
0.51,1.21
0.7,0.67
0.78,0.07
0.9,0.35
0.94,0.74
1.09,0.16
